store_id,item_id,wm_yr_wk,sell_price
CA_1,HOBBIES_1_001,11101,8.41
CA_1,HOBBIES_1_001,11102,8.41
CA_1,HOBBIES_1_001,11103,8.41
CA_1,HOBBIES_1_001,11104,8.41
CA_1,HOBBIES_1_001,11105,8.41
CA_1,HOBBIES_1_001,11106,8.41
CA_1,HOBBIES_1_001,11107,8.41
CA_1,HOBBIES_1_001,11108,8.41
CA_1,HOBBIES_1_001,11109,8.41
CA_1,HOBBIES_1_001,11110,8.41
CA_1,HOBBIES_1_001,11111,8.41
CA_1,HOBBIES_1_001,11112,8.41
CA_1,HOBBIES_1_001,11113,8.41
CA_1,HOBBIES_1_001,11114,8.41
CA_1,HOBBIES_1_001,11115,8.41
CA_1,HOBBIES_1_002,11101,14.98
CA_1,HOBBIES_1_002,11102,14.98
CA_1,HOBBIES_1_002,11103,14.98
CA_1,HOBBIES_1_002,11104,14.98
CA_1,HOBBIES_1_002,11105,14.98
CA_1,HOBBIES_1_002,11106,14.98
CA_1,HOBBIES_1_002,11107,14.98
CA_1,HOBBIES_1_002,11108,14.98
CA_1,HOBBIES_1_002,11109,14.98
CA_1,HOBBIES_1_002,11110,14.98
CA_1,HOBBIES_1_002,11111,14.98
CA_1,HOBBIES_1_002,11112,14.98
CA_1,HOBBIES_1_002,11113,14.98
CA_1,HOBBIES_1_002,11114,14.98
CA_1,HOBBIES_1_002,11115,14.98
CA_1,HOBBIES_1_003,11101,13.39
CA_1,HOBBIES_1_003,11102,13.39
CA_1,HOBBIES_1_003,11103,13.39
CA_1,HOBBIES_1_003,11104,13.39
CA_1,HOBBIES_1_003,11105,13.39
CA_1,HOBBIES_1_003,11106,13.39
CA_1,HOBBIES_1_003,11107,13.39
CA_1,HOBBIES_1_003,11108,13.39
CA_1,HOBBIES_1_003,11109,13.39
CA_1,HOBBIES_1_003,11110,13.39
CA_1,HOBBIES_1_003,11111,13.39
CA_1,HOBBIES_1_003,11112,13.39
CA_1,HOBBIES_1_003,11113,13.39
CA_1,HOBBIES_1_003,11114,13.39
CA_1,HOBBIES_1_003,11115,13.39
CA_1,HOBBIES_1_004,11101,8.86
CA_1,HOBBIES_1_004,11102,8.86
CA_1,HOBBIES_1_004,11103,8.86
CA_1,HOBBIES_1_004,11104,8.86
CA_1,HOBBIES_1_004,11105,8.86
CA_1,HOBBIES_1_004,11106,8.86
CA_1,HOBBIES_1_004,11107,8.86
CA_1,HOBBIES_1_004,11108,8.86
CA_1,HOBBIES_1_004,11109,8.86
CA_1,HOBBIES_1_004,11110,8.86
CA_1,HOBBIES_1_004,11111,8.86
CA_1,HOBBIES_1_004,11112,8.86
CA_1,HOBBIES_1_004,11113,8.86
CA_1,HOBBIES_1_004,11114,8.86
CA_1,HOBBIES_1_004,11115,8.86
CA_1,HOBBIES_1_005,11101,7.52
CA_1,HOBBIES_1_005,11102,7.52
CA_1,HOBBIES_1_005,11103,7.52
CA_1,HOBBIES_1_005,11104,7.52
CA_1,HOBBIES_1_005,11105,7.52
CA_1,HOBBIES_1_005,11106,7.52
CA_1,HOBBIES_1_005,11107,7.52
CA_1,HOBBIES_1_005,11108,7.52
CA_1,HOBBIES_1_005,11109,7.52
CA_1,HOBBIES_1_005,11110,7.52
CA_1,HOBBIES_1_005,11111,7.52
CA_1,HOBBIES_1_005,11112,7.52
CA_1,HOBBIES_1_005,11113,7.52
CA_1,HOBBIES_1_005,11114,7.52
CA_1,HOBBIES_1_005,11115,7.52
CA_1,HOBBIES_1_006,11101,9.02
CA_1,HOBBIES_1_006,11102,9.02
CA_1,HOBBIES_1_006,11103,9.02
CA_1,HOBBIES_1_006,11104,9.02
CA_1,HOBBIES_1_006,11105,9.02
CA_1,HOBBIES_1_006,11106,9.02
CA_1,HOBBIES_1_006,11107,9.02
CA_1,HOBBIES_1_006,11108,9.02
CA_1,HOBBIES_1_006,11109,9.02
CA_1,HOBBIES_1_006,11110,9.02
CA_1,HOBBIES_1_006,11111,9.02
CA_1,HOBBIES_1_006,11112,9.02
CA_1,HOBBIES_1_006,11113,9.02
CA_1,HOBBIES_1_006,11114,9.02
CA_1,HOBBIES_1_006,11115,9.02
CA_1,HOBBIES_1_007,11101,11.03
CA_1,HOBBIES_1_007,11102,11.03
CA_1,HOBBIES_1_007,11103,11.03
CA_1,HOBBIES_1_007,11104,11.03
CA_1,HOBBIES_1_007,11105,11.03
CA_1,HOBBIES_1_007,11106,11.03
CA_1,HOBBIES_1_007,11107,11.03
CA_1,HOBBIES_1_007,11108,11.03
CA_1,HOBBIES_1_007,11109,11.03
CA_1,HOBBIES_1_007,11110,11.03
CA_1,HOBBIES_1_007,11111,11.03
CA_1,HOBBIES_1_007,11112,11.03
CA_1,HOBBIES_1_007,11113,11.03
CA_1,HOBBIES_1_007,11114,11.03
CA_1,HOBBIES_1_007,11115,11.03
CA_1,HOBBIES_1_008,11101,13.58
CA_1,HOBBIES_1_008,11102,13.58
CA_1,HOBBIES_1_008,11103,13.58
CA_1,HOBBIES_1_008,11104,13.58
CA_1,HOBBIES_1_008,11105,13.58
CA_1,HOBBIES_1_008,11106,13.58
CA_1,HOBBIES_1_008,11107,13.58
CA_1,HOBBIES_1_008,11108,13.58
CA_1,HOBBIES_1_008,11109,13.58
CA_1,HOBBIES_1_008,11110,13.58
CA_1,HOBBIES_1_008,11111,13.58
CA_1,HOBBIES_1_008,11112,13.58
CA_1,HOBBIES_1_008,11113,13.58
CA_1,HOBBIES_1_008,11114,13.58
CA_1,HOBBIES_1_008,11115,13.58
CA_1,HOBBIES_1_009,11101,3.96
CA_1,HOBBIES_1_009,11102,3.96
CA_1,HOBBIES_1_009,11103,3.96
CA_1,HOBBIES_1_009,11104,3.96
CA_1,HOBBIES_1_009,11105,3.96
CA_1,HOBBIES_1_009,11106,3.96
CA_1,HOBBIES_1_009,11107,3.96
CA_1,HOBBIES_1_009,11108,3.96
CA_1,HOBBIES_1_009,11109,3.96
CA_1,HOBBIES_1_009,11110,3.96
CA_1,HOBBIES_1_009,11111,3.96
CA_1,HOBBIES_1_009,11112,3.96
CA_1,HOBBIES_1_009,11113,3.96
CA_1,HOBBIES_1_009,11114,3.96
CA_1,HOBBIES_1_009,11115,3.96
CA_1,HOBBIES_1_010,11101,9.67
CA_1,HOBBIES_1_010,11102,9.67
CA_1,HOBBIES_1_010,11103,9.67
CA_1,HOBBIES_1_010,11104,9.67
CA_1,HOBBIES_1_010,11105,9.67
CA_1,HOBBIES_1_010,11106,9.67
CA_1,HOBBIES_1_010,11107,9.67
CA_1,HOBBIES_1_010,11108,9.67
CA_1,HOBBIES_1_010,11109,9.67
CA_1,HOBBIES_1_010,11110,9.67
CA_1,HOBBIES_1_010,11111,9.67
CA_1,HOBBIES_1_010,11112,9.67
CA_1,HOBBIES_1_010,11113,9.67
CA_1,HOBBIES_1_010,11114,9.67
CA_1,HOBBIES_1_010,11115,9.67
CA_1,HOBBIES_1_011,11101,13.51
CA_1,HOBBIES_1_011,11102,13.51
CA_1,HOBBIES_1_011,11103,13.51
CA_1,HOBBIES_1_011,11104,13.51
CA_1,HOBBIES_1_011,11105,13.51
CA_1,HOBBIES_1_011,11106,13.51
CA_1,HOBBIES_1_011,11107,13.51
CA_1,HOBBIES_1_011,11108,13.51
CA_1,HOBBIES_1_011,11109,13.51
CA_1,HOBBIES_1_011,11110,13.51
CA_1,HOBBIES_1_011,11111,13.51
CA_1,HOBBIES_1_011,11112,13.51
CA_1,HOBBIES_1_011,11113,13.51
CA_1,HOBBIES_1_011,11114,13.51
CA_1,HOBBIES_1_011,11115,13.51
CA_1,HOBBIES_1_012,11101,13.13
CA_1,HOBBIES_1_012,11102,13.13
